path,label
data/raw/Cerumen Impaction/ci (165).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (260).jpg,Chronic Otitis Media
data/raw/Normal/norm (380).jpg,Normal
data/raw/Acute Otitis Media/aom (19).jpg,Acute Otitis Media
data/raw/Normal/norm (199).jpg,Normal
data/raw/Cerumen Impaction/ci (50).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (284).jpg,Myringosclerosis
data/raw/Normal/norm (238).jpg,Normal
data/raw/Acute Otitis Media/aom (378).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (475).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (513).jpg,Chronic Otitis Media
data/raw/Myringosclerosis/mys (154).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (294).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (335).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (473).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (183).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (78).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (433).jpg,Chronic Otitis Media
data/raw/Normal/norm (63).jpg,Normal
data/raw/Normal/norm (22).jpg,Normal
data/raw/Chronic Otitis Media/com (152).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (488).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (257).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (134).jpg,Myringosclerosis
data/raw/Normal/norm (388).jpg,Normal
data/raw/Acute Otitis Media/aom (44).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (319).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (469).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (49).jpg,Myringosclerosis
data/raw/Normal/norm (455).jpg,Normal
data/raw/Cerumen Impaction/ci (245).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (122).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (473).jpg,Cerumen Impaction
data/raw/Normal/norm (134).jpg,Normal
data/raw/Acute Otitis Media/aom (158).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (442).jpg,Acute Otitis Media
data/raw/Normal/norm (67).jpg,Normal
data/raw/Cerumen Impaction/ci (41).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (507).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (51).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (237).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (531).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (330).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (449).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (574).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (23).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (331).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (394).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (309).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (530).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (130).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (57).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (126).jpg,Cerumen Impaction
data/raw/Normal/norm (136).jpg,Normal
data/raw/Acute Otitis Media/aom (25).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (65).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (509).jpg,Cerumen Impaction
data/raw/Normal/norm (509).jpg,Normal
data/raw/Acute Otitis Media/aom (237).jpg,Acute Otitis Media
data/raw/Normal/norm (161).jpg,Normal
data/raw/Cerumen Impaction/ci (456).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (300).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (24).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (30).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (451).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (27).jpg,Chronic Otitis Media
data/raw/Normal/norm (557).jpg,Normal
data/raw/Acute Otitis Media/aom (267).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (140).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (165).jpg,Chronic Otitis Media
data/raw/Myringosclerosis/mys (331).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (466).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (343).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (109).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (67).jpg,Chronic Otitis Media
data/raw/Normal/norm (14).jpg,Normal
data/raw/Myringosclerosis/mys (128).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (235).jpg,Chronic Otitis Media
data/raw/Normal/norm (547).jpg,Normal
data/raw/Acute Otitis Media/aom (86).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (40).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (237).jpg,Chronic Otitis Media
data/raw/Myringosclerosis/mys (108).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (192).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (196).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (149).jpg,Myringosclerosis
data/raw/Normal/norm (125).jpg,Normal
data/raw/Normal/norm (529).jpg,Normal
data/raw/Acute Otitis Media/aom (539).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (306).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (200).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (6).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (152).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (515).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (411).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (329).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (191).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (132).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (537).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (596).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (170).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (499).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (543).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (145).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (391).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (401).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (357).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (266).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (475).jpg,Chronic Otitis Media
data/raw/Normal/norm (235).jpg,Normal
data/raw/Myringosclerosis/mys (378).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (337).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (175).jpg,Cerumen Impaction
data/raw/Normal/norm (336).jpg,Normal
data/raw/Acute Otitis Media/aom (297).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (592).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (375).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (241).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (345).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (326).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (296).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (476).jpg,Chronic Otitis Media
data/raw/Normal/norm (264).jpg,Normal
data/raw/Acute Otitis Media/aom (568).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (427).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (81).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (394).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (426).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (289).jpg,Myringosclerosis
data/raw/Normal/norm (195).jpg,Normal
data/raw/Normal/norm (94).jpg,Normal
data/raw/Cerumen Impaction/ci (188).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (360).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (202).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (68).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (487).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (450).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (157).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (338).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (127).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (182).jpg,Acute Otitis Media
data/raw/Normal/norm (156).jpg,Normal
data/raw/Cerumen Impaction/ci (28).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (359).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (342).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (51).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (22).jpg,Acute Otitis Media
data/raw/Normal/norm (300).jpg,Normal
data/raw/Chronic Otitis Media/com (518).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (586).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (94).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (64).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (154).jpg,Acute Otitis Media
data/raw/Normal/norm (149).jpg,Normal
data/raw/Acute Otitis Media/aom (88).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (282).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (158).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (230).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (479).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (255).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (137).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (208).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (310).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (51).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (340).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (25).jpg,Chronic Otitis Media
data/raw/Myringosclerosis/mys (250).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (461).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (578).jpg,Chronic Otitis Media
data/raw/Normal/norm (179).jpg,Normal
data/raw/Normal/norm (478).jpg,Normal
data/raw/Normal/norm (13).jpg,Normal
data/raw/Normal/norm (138).jpg,Normal
data/raw/Normal/norm (554).jpg,Normal
data/raw/Cerumen Impaction/ci (367).jpg,Cerumen Impaction
data/raw/Normal/norm (394).jpg,Normal
data/raw/Cerumen Impaction/ci (103).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (128).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (42).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (431).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (36).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (226).jpg,Chronic Otitis Media
data/raw/Myringosclerosis/mys (411).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (508).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (447).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (541).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (221).jpg,Cerumen Impaction
data/raw/Normal/norm (576).jpg,Normal
data/raw/Acute Otitis Media/aom (207).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (573).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (519).jpg,Cerumen Impaction
data/raw/Normal/norm (363).jpg,Normal
data/raw/Normal/norm (491).jpg,Normal
data/raw/Cerumen Impaction/ci (522).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (588).jpg,Acute Otitis Media
data/raw/Normal/norm (327).jpg,Normal
data/raw/Acute Otitis Media/aom (6).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (11).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (302).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (413).jpg,Myringosclerosis
data/raw/Normal/norm (17).jpg,Normal
data/raw/Myringosclerosis/mys (521).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (504).jpg,Chronic Otitis Media
data/raw/Normal/norm (178).jpg,Normal
data/raw/Myringosclerosis/mys (432).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (530).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (256).jpg,Chronic Otitis Media
data/raw/Normal/norm (57).jpg,Normal
data/raw/Acute Otitis Media/aom (547).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (108).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (577).jpg,Acute Otitis Media
data/raw/Normal/norm (126).jpg,Normal
data/raw/Myringosclerosis/mys (237).jpg,Myringosclerosis
data/raw/Normal/norm (586).jpg,Normal
data/raw/Acute Otitis Media/aom (552).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (328).jpg,Acute Otitis Media
data/raw/Normal/norm (454).jpg,Normal
data/raw/Myringosclerosis/mys (492).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (455).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (532).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (314).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (398).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (318).jpg,Chronic Otitis Media
data/raw/Normal/norm (413).jpg,Normal
data/raw/Chronic Otitis Media/com (179).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (365).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (493).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (366).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (551).jpg,Cerumen Impaction
data/raw/Normal/norm (288).jpg,Normal
data/raw/Cerumen Impaction/ci (152).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (471).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (273).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (569).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (11).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (155).jpg,Chronic Otitis Media
data/raw/Normal/norm (429).jpg,Normal
data/raw/Cerumen Impaction/ci (310).jpg,Cerumen Impaction
data/raw/Normal/norm (116).jpg,Normal
data/raw/Myringosclerosis/mys (90).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (116).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (23).jpg,Chronic Otitis Media
data/raw/Normal/norm (367).jpg,Normal
data/raw/Myringosclerosis/mys (519).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (323).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (311).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (297).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (233).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (579).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (97).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (84).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (523).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (498).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (182).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (386).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (435).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (46).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (216).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (212).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (159).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (413).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (100).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (356).jpg,Chronic Otitis Media
data/raw/Normal/norm (476).jpg,Normal
data/raw/Myringosclerosis/mys (384).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (265).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (341).jpg,Cerumen Impaction
data/raw/Normal/norm (379).jpg,Normal
data/raw/Myringosclerosis/mys (15).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (82).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (290).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (277).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (281).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (278).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (567).jpg,Myringosclerosis
data/raw/Normal/norm (139).jpg,Normal
data/raw/Normal/norm (280).jpg,Normal
data/raw/Acute Otitis Media/aom (371).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (174).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (342).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (399).jpg,Chronic Otitis Media
data/raw/Myringosclerosis/mys (467).jpg,Myringosclerosis
data/raw/Normal/norm (277).jpg,Normal
data/raw/Acute Otitis Media/aom (45).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (147).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (296).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (240).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (20).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (210).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (503).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (515).jpg,Myringosclerosis
data/raw/Normal/norm (373).jpg,Normal
data/raw/Myringosclerosis/mys (554).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (459).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (166).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (329).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (600).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (271).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (542).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (500).jpg,Acute Otitis Media
data/raw/Normal/norm (531).jpg,Normal
data/raw/Cerumen Impaction/ci (353).jpg,Cerumen Impaction
data/raw/Normal/norm (545).jpg,Normal
data/raw/Cerumen Impaction/ci (321).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (575).jpg,Chronic Otitis Media
data/raw/Normal/norm (302).jpg,Normal
data/raw/Chronic Otitis Media/com (553).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (260).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (182).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (222).jpg,Myringosclerosis
data/raw/Normal/norm (541).jpg,Normal
data/raw/Acute Otitis Media/aom (355).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (406).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (402).jpg,Chronic Otitis Media
data/raw/Myringosclerosis/mys (71).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (460).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (52).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (386).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (166).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (373).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (412).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (117).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (359).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (235).jpg,Myringosclerosis
data/raw/Normal/norm (462).jpg,Normal
data/raw/Acute Otitis Media/aom (274).jpg,Acute Otitis Media
data/raw/Cerumen Impaction/ci (204).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (201).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (10).jpg,Cerumen Impaction
data/raw/Normal/norm (522).jpg,Normal
data/raw/Chronic Otitis Media/com (490).jpg,Chronic Otitis Media
data/raw/Normal/norm (110).jpg,Normal
data/raw/Acute Otitis Media/aom (70).jpg,Acute Otitis Media
data/raw/Normal/norm (289).jpg,Normal
data/raw/Chronic Otitis Media/com (66).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (589).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (186).jpg,Chronic Otitis Media
data/raw/Normal/norm (9).jpg,Normal
data/raw/Cerumen Impaction/ci (544).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (443).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (230).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (462).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (180).jpg,Myringosclerosis
data/raw/Normal/norm (33).jpg,Normal
data/raw/Chronic Otitis Media/com (22).jpg,Chronic Otitis Media
data/raw/Chronic Otitis Media/com (558).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (399).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (370).jpg,Myringosclerosis
data/raw/Chronic Otitis Media/com (339).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (444).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (437).jpg,Myringosclerosis
data/raw/Normal/norm (3).jpg,Normal
data/raw/Normal/norm (223).jpg,Normal
data/raw/Cerumen Impaction/ci (47).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (565).jpg,Cerumen Impaction
data/raw/Normal/norm (61).jpg,Normal
data/raw/Acute Otitis Media/aom (300).jpg,Acute Otitis Media
data/raw/Chronic Otitis Media/com (500).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (377).jpg,Acute Otitis Media
data/raw/Acute Otitis Media/aom (463).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (362).jpg,Myringosclerosis
data/raw/Normal/norm (150).jpg,Normal
data/raw/Cerumen Impaction/ci (111).jpg,Cerumen Impaction
data/raw/Cerumen Impaction/ci (71).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (472).jpg,Acute Otitis Media
data/raw/Normal/norm (242).jpg,Normal
data/raw/Myringosclerosis/mys (541).jpg,Myringosclerosis
data/raw/Acute Otitis Media/aom (98).jpg,Acute Otitis Media
data/raw/Normal/norm (389).jpg,Normal
data/raw/Myringosclerosis/mys (346).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (118).jpg,Cerumen Impaction
data/raw/Myringosclerosis/mys (219).jpg,Myringosclerosis
data/raw/Normal/norm (539).jpg,Normal
data/raw/Myringosclerosis/mys (360).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (409).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (450).jpg,Myringosclerosis
data/raw/Myringosclerosis/mys (422).jpg,Myringosclerosis
data/raw/Normal/norm (473).jpg,Normal
data/raw/Chronic Otitis Media/com (527).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (244).jpg,Cerumen Impaction
data/raw/Chronic Otitis Media/com (225).jpg,Chronic Otitis Media
data/raw/Cerumen Impaction/ci (138).jpg,Cerumen Impaction
data/raw/Acute Otitis Media/aom (556).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (144).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (463).jpg,Cerumen Impaction
data/raw/Normal/norm (440).jpg,Normal
data/raw/Chronic Otitis Media/com (597).jpg,Chronic Otitis Media
data/raw/Acute Otitis Media/aom (302).jpg,Acute Otitis Media
data/raw/Myringosclerosis/mys (92).jpg,Myringosclerosis
data/raw/Cerumen Impaction/ci (534).jpg,Cerumen Impaction
data/raw/Normal/norm (68).jpg,Normal
